"ID","log_Date","log_Issue","log_Initiated_By","log_Status","log_Asset","log_Site","log_Priority","log_Assigned_To","log_Affected_Variable_Or_Measurement","log_Category","log_AssetID"
1,18/10/2024 00:00:00,"test","Liaromatis, David","Completed","D-RTK 2 Mobile Station",,"2",,,,19
2,12/05/2025 00:00:00,"test","Liaromatis, David","Cancelled","NR01 radiometer (test)","Bangor","High","Dcruz, Dena Roselyn","Body temperature",,226
4,05/06/2025 00:00:00,"Test NR01 issue","Cooper, Hollie","Completed","NR01 radiometer (test)","Lancaster",,,"Body temperature","Modification",226
6,17/09/2025 00:00:00,"Leak in stilling well at Severn Trapezodial flume.                            Details on SP: FDRI-WP1 Observatory - Documents\General\WP1-Observatory\Sites\SE-Severn\SE_Site Finding\SE_Site Visits\Severn Visit_16092025","Hatton, Jade","Open",,"SE-HAFRF-07-TF","High",,,"Site activity",0
7,18/09/2025 00:00:00,"Carreg Wen – Fence underneath/close to NR01 
Details: Fencing was installed post equipment install. Proposal to have larger compound was rejected by host. Same compound size was only permitted. Result is that the NR01 is very close to fence. TB is reviewing data and options.",,"Open","NR01","SE-CARWE-01-RS","Medium","Burton, Tom",,"Modification",0
8,18/09/2025 00:00:00,"Carreg Wen – Camera system modification. 
Details: Update to PoE when power requirements have been reviewed.",,"Open",,"SE-CARWE-01-RS","High","Burton, Tom",,"Modification",0
9,23/09/2025 00:00:00,"This faulty sensor to be returned to CSL; as a replacement sensor has been sent.","McLellan, Alex","Completed","DPS8100 BAROMETRIC PRESSURE SENSOR (500-1080mB) C/W RS232","xx_UKCEH_Wallingford","Medium","Burton, Tom",,"Sensor fault",0
10,23/09/2025 00:00:00,"This faulty sensor to be returned to CSL; as a replacement sensor has been sent.","McLellan, Alex","Completed","DPS8100 BAROMETRIC PRESSURE SENSOR (500-1080mB) C/W RS232","xx_UKCEH_Wallingford","Medium","Burton, Tom",,"Sensor fault",0
11,23/09/2025 00:00:00,"This faulty sensor to be returned to CSL; as a replacement sensor has been sent.","McLellan, Alex","Completed","DPS8100 BAROMETRIC PRESSURE SENSOR (500-1080mB) C/W RS232","xx_UKCEH_Wallingford","Medium","Burton, Tom",,"Sensor fault",0
12,23/09/2025 00:00:00,"Carregwen: This faulty sensor to be returned to CSL; awaiting a replacement sensor to be sent to us. Need to arrange for pick up from Carregwen","McLellan, Alex","Completed","DPS8100 Barometric Pressure Sensor","SE-CARWE-01-RS","Medium","Burton, Tom",,"Sensor fault",0
13,09/10/2025 00:00:00,"Carragwen: Fan aspirated screen (TS100) has blown to the side in the wind. Therefore not sitting vertically","Burton, Tom","Completed","TS100 Aspiration Radiation Shield W/ 5m Cable","SE-CARWE-01-RS","Medium","Burton, Tom","Fan aspirated screen","Field fault",0
14,08/01/2026 00:00:00,"No comms, possible battery related issue","Burton, Tom","Open",,"SE-HAFRF-07-TF","High",,,"Field fault",0
15,08/01/2026 00:00:00,"No comms, possible battery related issue","Burton, Tom","Open",,"SE-CARWE-01-RG","High",,,"Field fault",0
16,29/12/2025 00:00:00,"Duplicate of issue 15, Ignore","Hambridge, Jack","Cancelled","18650 LIFEPO4 Battery","SE-CARWE-01-RG","High","Burton, Tom",,"Field fault",1124
17,01/01/2026 00:00:00,"Duplicate of issue 14 IGNORE","Hambridge, Jack","Cancelled","12V VICTRON LITHIUM SUPERPACK LIFEPO4 12.8V100AH BATTERY WITH INTEGRATED BMS AND SAFETYSWITCH (HIGH CURRENT DISCHARGE VERSION)","SE-HAFRF-07-TF","High","Burton, Tom","Battery","Field fault",775
18,28/10/2025 00:00:00,"28/10/2025 RS5 was sent back to Xylem to repair a faulty pin. 01/12/2025 RS5 was returned after reapir from Sontek, repair report uploaded to SP","Hambridge, Jack","Completed","RS5",,"Low","Hambridge, Jack",,"Sensor fault",60
19,22/01/2026 00:00:00,"finapp sensor missing alternating readings for serveral periods of a few hours, and once for almost two days during 16/01/26 - 19/01/26. Mostly affecting all four of the data packets sent by the senor, but sometimes only some.","Hughes, Jasmine","Open","Finapp snow water equivalent and soil moisture system C/W DSI-12 Module","SE-FOFAD-01-RG","Medium","Hughes, Jasmine",,"Sensor fault",699
20,29/01/2026 00:00:00,"On 26/01/26 Whilst cutting a hole in the table with the hole saw, the Unidata rotary encoder was knocked and the rotary shaft fell off the wheel. The shaft was replaced on site, although there's concerned that I may need recalibrating on the next visit. Jade Hatton h","Hambridge, Jack","Open",,"SE-HAFRF-07-TF","Medium","Hambridge, Jack",,"Data fault",
21,13/02/2026 00:00:00,"Lost comms with site since 11.02.26 at 02:22","Hambridge, Jack",,,"SE-CARWE-01-WS","High",,,"Field fault",0
22,23/02/2026 00:00:00,"Intermittent RainE cable. Sensor cable to be replaced with new cable","Ali, Azmol","Open","Rain[e]","SE-FOFAD-01-RG","High",,,"Sensor fault",1216
23,23/02/2026 00:00:00,"Intermittent RainE cable. Sensor cable to be replaced with new cable","Ali, Azmol","Open","RainE LP","SE-CARWE-01-WS","High",,,"Sensor fault",791
